rut_completo,razon_social,n_trabajadores,comuna,region,subrubro,encaje_probable,por_que_encaja,web,linkedin_empresa,decisor_nombre,decisor_cargo,decisor_linkedin,telefono_publico,senal_dolor,confianza,fuente_url
65153192-6,CORPORACIÓN EDUCACIONAL LOS ALERCES,145,SANTIAGO,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
71178900-6,FUND PADRE SEMERIA,145,LA PINTANA,XIII REGION METROPOLITANA,OTRAS ACTIVIDADES DE ALOJAMIENTO,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
76251926-7,SANTIAGO AIRPORT HOTEL SPA,145,PUDAHUEL,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
76937033-1,PREUNIVERSITARIO PEDRO DE VALDIVIA - NORTE LIMITADA,145,LAS CONDES,XIII REGION METROPOLITANA,OTROS TIPOS DE ENSEÑANZA,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
65148816-8,CORPORACION EDUCACIONAL COLEGIO IBEROAMERICANO,144,LA PINTANA,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
76179048-K,PUNTOMASCOTAS SPA,144,NUNOA,XIII REGION METROPOLITANA,ACTIVIDADES VETERINARIAS,alto,"Veterinaria: agenda, vacunas y precios preguntados una y otra vez.",,,,,,,,baja,
79606430-7,VIVIPRA SPA,144,SAN BERNARDO,XIII REGION METROPOLITANA,VENTA DE VEHICULOS AUTOMOTORES,alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
65145131-0,CORPORACION EDUCACIONAL KING SCHOOL CORDILLERA,143,LA PINTANA,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
65149061-8,CORPORACION EDUCACIONAL NIOBE S. NORMALISTA Y LUIS D. FUNDADORES,143,LA PINTANA,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
65158588-0,FUNDACION EDUCACIONAL ALCANTARA PEÑALOLEN,143,PENALOLEN,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
70443101-5,FUND EDUCACIONAL COLEGIO EL NINOJESUS,143,TALAGANTE,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
65230750-7,FUND CATALINA DE MARIA,142,PROVIDENCIA,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
65023386-7,FUNDACION EDUCACIONAL COLEGIO SAN FRANCISCO DE ASIS DE LA FLORIDA,141,LA FLORIDA,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
65128453-8,FUNDACION EDUCACIONAL COLEGIO SANTA CRUZ DE SANTIAGO,141,SANTIAGO,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
65145739-4,FUNDACION EDUCACIONAL SAN ANTONIO DE COLINA,141,COLINA,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
65151349-9,FUNDACION EDUCACIONAL SAN DIEGO,141,CONCHALI,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
65152903-4,FUNDACION EDUCACIONAL COLEGIO DESIREE,141,COLINA,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
65877120-5,FUNDACION BERNARDA MORIN,141,PROVIDENCIA,XIII REGION METROPOLITANA,OTROS TIPOS DE ENSEÑANZA,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
65145477-8,CORPORACION EDUCACIONAL ATENAS,140,LA FLORIDA,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
65155319-9,FUNDACION EDUCACIONAL COLEGIO ALBERTO BLEST GANA,140,SAN RAMON,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
76202914-6,HOTELERA AUSTRAL SANTIAGO SPA,140,SANTIAGO,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
96584100-8,COLEGIO NUESTRA SENORA DEL CAMINO SA,140,LA REINA,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
65092371-5,FUNDACION EDUCACIONAL NOBEL GABRIELA MISTRAL,139,PROVIDENCIA,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
65093935-2,CORPORACION EDUCACIONAL EL REDENTOR,139,MAIPU,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
65154237-5,CORPORACION EDUCACIONAL CHRISTIAN GARDEN,139,LA GRANJA,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
65687590-9,"""FUNDACION EDUCACIONAL """"COLEGIO NUESTRA SENORA DEL CARMEN """"""",139,MELIPILLA,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
65149956-9,CORPORACION EDUCACIONAL PATRONA DE LOURDES,138,LA FLORIDA,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
76304329-0,WEBCLASS LEARNING MANAGEMENT SYSTEM LIMITADA,138,HUECHURABA,XIII REGION METROPOLITANA,OTROS TIPOS DE ENSEÑANZA,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
99558380-1,SOC EDUCACIONAL LO AGUIRRE S A,138,PUDAHUEL,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
76133697-5,HOTELERA AMBAR RESIDENCE SPA,137,LAS CONDES,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
76416090-8,ADMINISTRADORA REMOTA LIMITADA,137,SANTIAGO,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
76042353-K,GRUPO HOTELERO RQ S.A.,134,PROVIDENCIA,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
76304140-9,HOTELERA PASTENE LIMITADA,134,PROVIDENCIA,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
76670860-9,SOCIEDAD DE MEDICINA Y TECNOLOGIA MEDICA S.A,134,PROVIDENCIA,XIII REGION METROPOLITANA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
76926589-9,ACTIVO MAS SPA,134,LAS CONDES,XIII REGION METROPOLITANA,ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCION O POR CONTRATA,alto,"Corretaje (la mejor apuesta según la investigación de nichos): responder en menos de 5 minutos multiplica ~100x la probabilidad de contacto, y la de cierre cae ~50% por cada 30 minutos de demora. El corredor está en visitas la mitad del día. Ticket enorme: una comisión paga años de servicio. Apuntar a corredoras de 1-5 personas, no a las grandes con TI.",,,,,,,,baja,
76319008-0,INVERSIONES SURANDINO S.A.,133,LAS CONDES,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
76620944-0,INCHCAPE COMERCIAL CHILE SPA,133,VITACURA,XIII REGION METROPOLITANA,VENTA DE VEHICULOS AUTOMOTORES,alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
76746250-6,LOS LENOS S.A,133,SANTIAGO,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
76495318-5,ASISTENCIA LOS DOMINICOS SPA,132,LAS CONDES,XIII REGION METROPOLITANA,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
76311376-0,RESCATE FAMILIAR LIMITADA,131,MACUL,XIII REGION METROPOLITANA,ALQUILER Y ARRENDAMIENTO DE VEHICULOS AUTOMOTORES,alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
76059493-8,CENTRO DE ATENCION ODONTOLOGICA NORDEN S.A.,129,LAS CONDES,XIII REGION METROPOLITANA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
72012000-3,UNIVERSIDAD TECNOLOGICA DE CHILE INACAP,127,VITACURA,XIII REGION METROPOLITANA,ENSEÑANZA SUPERIOR,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
99528540-1,NUEVOS S A,125,SAN BERNARDO,XIII REGION METROPOLITANA,VENTA DE VEHICULOS AUTOMOTORES,alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
65770460-1,FUNDACION EDUCACIONAL LICEO RUIZ TAGLE,124,EST CENTRAL,XIII REGION METROPOLITANA,OTROS TIPOS DE ENSEÑANZA,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
78205980-7,INSTITUTO PROFESIONAL LOS LEONES LTDA,124,SANTIAGO,XIII REGION METROPOLITANA,ENSEÑANZA SUPERIOR,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
76057225-K,INMOBILIARIA SIMPAC LIMITADA,123,LAS CONDES,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
76063825-0,KATARI HOTELERIA LIMITADA,119,LAS CONDES,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
76502610-5,PDCH SPA,119,SANTIAGO,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
76659281-3,PREUNIVERSITARIO TUTOR  U CHILE SPA,118,PROVIDENCIA,XIII REGION METROPOLITANA,OTROS TIPOS DE ENSEÑANZA,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
77050482-1,GYL HOTELERA SPA,118,PROVIDENCIA,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
77630220-1,CENTRO DE FORMACION TECNICA CENCO S A,118,SANTIAGO,XIII REGION METROPOLITANA,ENSEÑANZA SUPERIOR,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
76074009-8,SOCIEDAD DE PRESTACIONES MEDICAS QUIRURGICAS VIGILIUS SPA,117,PROVIDENCIA,XIII REGION METROPOLITANA,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
94340000-8,GRUPO PLANET SPA,117,QUILICURA,XIII REGION METROPOLITANA,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES",alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
96882750-2,EDUCACION DEPORTIVA S A,117,MACUL,XIII REGION METROPOLITANA,OTROS TIPOS DE ENSEÑANZA,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
76144635-5,LABORATORIO MEDICINA NUCLEAR BICENTENARIO LIMITADA,116,SAN MIGUEL,XIII REGION METROPOLITANA,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
93435000-6,SAINT GERMAIN SPA,116,PROVIDENCIA,XIII REGION METROPOLITANA,VENTA DE VEHICULOS AUTOMOTORES,alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
96719690-8,ASTRA SOCIEDAD MEDICA S A,116,PROVIDENCIA,XIII REGION METROPOLITANA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
73124400-6,UNIVERSIDAD MIGUEL DE CERVANTES,114,SANTIAGO,XIII REGION METROPOLITANA,ENSEÑANZA SUPERIOR,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
