rut_completo,razon_social,n_trabajadores,comuna,subrubro,nombre_fantasia,web,tiene_whatsapp_web,canal_contacto,linkedin_empresa,decisor_nombre,decisor_cargo,decisor_linkedin,telefono_publico,google_rating,google_resenas,senal_dolor,confianza,fuente_url,n,prioridad
77410408-9,CLINICA HUINGANAL SPA,103,LO BARNECHEA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,Clinica Huinganal,clinicahuinganal.cl,no,Formulario con desplegable de motivo (Clinico / Administrativo) + un unico fijo +56 2 3259 8300 + contacto@clinicahuinganal.cl,https://cl.linkedin.com/company/clinica-huinganal,Freddy Elias Paredes Morales,Gerente de Administracion y Finanzas,,+56 2 3259 8300,,,"clinica quirurgica con 2 sedes (Lo Barnechea y Vitacura) y un solo fijo, sin WhatsApp; promete 'responder en menos de 24 horas' via formulario y la portada aun muestra bloques de prueba titulados 'NOTICIAS OPCION 1 (ESTO SE BORRA)'",media,https://cl.linkedin.com/company/clinica-huinganal,103,97
78334250-2,SUMINISTRO DE REPUESTOS Y ACCESORIOS LM SPA,105,CONCHALI,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES",SURAC (Suministro de Repuestos y Accesorios),surac.cl,no,"Formulario que obliga a elegir sucursal, numero de serie del motor y marca + fono 224146500 + info@surac.cl; ademas un fono y un celular distinto por sucursal y por linea de producto",https://cl.linkedin.com/company/surac,Daniel Rodriguez Martin,Gerente Comercial Mineria Zona Norte,https://www.linkedin.com/in/daniel-rodriguez-martin-203293266/,+56 2 2414 6500,,,la pagina de contacto lista mas de 20 pares fono+celular distintos (8 sucursales x linea de producto) y ningun WhatsApp: el cliente tiene que adivinar a quien llamar,media,https://www.linkedin.com/in/daniel-rodriguez-martin-203293266/,105,97
76108126-8,EQUANS AUTOMATIZACION SPA,150,CERRILLOS,VENTA AL POR MENOR DE OTROS PRODUCTOS EN COMERCIOS ESPECIALIZADOS,Equans Chile,equans.cl,no,"Solo formulario. La pagina /contacto no publica telefono ni correo general; el unico correo visible es postula@equans.com (empleo). Formulario de 7 campos: nombre, email, telefono, empresa, rubro (dropdown), motivo, mensaje",https://www.linkedin.com/company/equans-chile/,Denis Girault,CEO Equans LATAM,,,,,Sitio corporativo sin telefono ni WhatsApp: el unico canal es un formulario de 7 campos que exige nombre de empresa y rubro antes de dejar escribir,media,https://www.equans.cl/nuestras-noticias/denis-girault-nuevo-ceo-para-equans-latam,150,90
88610100-7,EDUARDO DIB H Y CIA LTDA,129,VINA DEL MAR,VENTA AL POR MENOR DE OTROS ENSERES DOMESTICOS EN COMERCIOS ESPECIALIZADOS,DIB (Dib Chile),dib.cl,no,"Solo formulario Shopify en /pages/contact (nombre completo, email, telefono, numero de pedido y mensaje) mas el correo contacto@dib.cl",,Eduardo Dib,Gerente General,https://cl.linkedin.com/in/eduardo-dib-1911962a9,,,,"Tienda online de alfombras, muebles y ropa de cama sin ningun enlace wa.me ni mencion de WhatsApp en todo el sitio: el unico canal es un formulario de 5 campos que pide hasta el numero de pedido",alta,https://cl.linkedin.com/in/eduardo-dib-1911962a9,129,89
76763230-4,LABORATORIO CLINICO Y DE HISTOPATOLOGIA LABOCENTER SA,147,PROVIDENCIA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,Labocenter,labocenter.cl,si,"Call center unico (2) 2611 2700, WhatsApp +56 9 9771 6818 y correo call-center@labocenter.cl, los mismos para las 3 sucursales. Agenda dental en dominio externo (softwaredentalink)",,Carlos Gutierrez Camus,Representante legal / Gerente General,https://cl.linkedin.com/in/carlos-gutierrez-92a434196,+56 2 2611 2700,,,"3 sucursales (Providencia, Rancagua y Santiago Centro) comparten un unico call center y un solo WhatsApp, y los resultados se reparten en 3 portales externos distintos (examenes.labocenter.cl, app.dalca.cl y softwaredentalink)",alta,https://www.superdesalud.gob.cl/registro/centro-de-diagnostico-labocenter/,147,70
76412055-8,PASCUAL ATENAS Y COMPANIA LIMITADA,144,MELIPILLA,VENTA AL POR MENOR DE OTROS ENSERES DOMESTICOS EN COMERCIOS ESPECIALIZADOS,Chocalan,chocalan.cl,si,"WhatsApp en dos numeros (wa.me/56233287520 ventas y wa.me/56942238915 sugerencias y reclamos), telefono 22 831 20 20, correo ventas@chocalan.cl, formulario y cotizador online",,Pascual Atenas,Fundador y socio (fundo la empresa en 1987; su esposa Maria Ines se incorporo en 1996),,+56 2 2831 2020,,,"Parte el WhatsApp en dos numeros distintos, uno para vender y otro para 'sugerencias y reclamos', y publica un fijo de Santiago (22 831 20 20) para un local que esta en Melipilla",media,https://www.chocalan.cl/page/4/about-us,144,70
99595100-2,SERVICIO LUCAS DIESEL S A,129,CONCHALI,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES",Lucas Diesel,lucasdiesel.cl,si,"Dos WhatsApp distintos (api.whatsapp.com/send?phone=56939579811 y 56968363649), central +56 2 2651 6000 con seis anexos y varios celulares por sucursal",https://cl.linkedin.com/company/lucas-diesel-sa/,Diego Dittborn,Gerente General,https://www.linkedin.com/in/diego-dittborn-165aa732/,+56 2 2651 6000,,,"Publica dos numeros de WhatsApp distintos y mas de diez telefonos (seis anexos de central mas celulares por sucursal, de Arica a Punta Arenas) sin decir cual es para repuestos y cual para servicio tecnico",alta,https://www.linkedin.com/in/diego-dittborn-165aa732/,129,69
70280800-6,FUNDACION EDUCACIONAL LA MAISONNETTE,142,VITACURA,"ENSENANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",Colegio La Maisonnette,lamaisonnette.cl,si,"10+ anexos y correos por area (Asistente de Direccion, Admision, Secretaria de Cuentas, Enfermeria, 3 Inspectorias, Secretaria Academica) + formulario de admision; el WhatsApp existe solo para Admision y va como texto plano, sin enlace ni boton",,Constanza Hutt Hesse,Directora Colegio La Maisonnette,,+56 2 2816 2900,,,"el apoderado debe elegir entre 10+ anexos distintos (3 inspectorias, secretaria de cuentas, enfermeria); el unico WhatsApp (+56 9 2853 1574) es 'solo admision' y esta escrito como texto, sin link clickeable",alta,https://www.lamaisonnette.cl/nuestro-colegio/,142,69
76244189-6,IMALAB S.A.,132,LAS CONDES,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,Imalab,imalab.cl,si,"WhatsApp +56 9 7889 6296, formulario web y tres fijos distintos segun el tramite (horas 2 3293 6800, resultados 2 3293 6849, banco de sangre 2 3293 6842)",https://cl.linkedin.com/company/imalab-s-a,Cristian Moran,Gerente Comercial,https://cl.linkedin.com/in/cristian-moran-725a4a41,+56 2 3293 6800,,,"Tiene WhatsApp pero parte la atencion en tres telefonos distintos segun el tramite (toma de horas, entrega de resultados, banco de sangre) y el call center cierra a las 20:00 y no atiende domingos",alta,https://cl.linkedin.com/in/cristian-moran-725a4a41,132,69
88987500-3,LABORATORIO LIVIO BARNAFI S.A.,136,PROVIDENCIA,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,BKLAB - Laboratorio Barnafi Krause,bklab.cl,nd,nd/telefono - el registro de la Superintendencia de Salud publica el fijo 226633400 y el sitio bklab.cl; no se pudo leer el sitio directamente (certificado SSL invalido en bklab.cl y bklab.info),https://cl.linkedin.com/company/bklab,Andrea Barnafi Krause,Representante legal,,+56 2 2663 3400,,,"Laboratorio de derivacion con al menos 3 dominios paralelos (bklab.cl, bklab.info y lp4.cl) y problemas de certificado SSL; el unico telefono verificable esta en el registro de la Superintendencia de Salud, no en su web",alta,https://www.superdesalud.gob.cl/registro/laboratorio-livio-barnafi/,136,69
76363205-9,CLINICA ENSENADA SPA,138,INDEPENDENCIA,ACTIVIDADES DE HOSPITALES PUBLICOS Y PRIVADOS,Clinica Ensenada,clinicaensenada.cl,si,"WhatsApp con widget Joinchat (api.whatsapp.com/send/?phone=56961578262), mesa central +56 2 2437 3560 y un movil adicional +56 9 6157 9883. Sin correo publicado; reserva de horas en dominio externo (s3.philaxmed.cl)",,Rodolfo Bustos Basili,Gerente General,https://cl.linkedin.com/in/rodolfo-bustos-basili-966a8b24,+56 2 2437 3560,,,"Tres numeros distintos en el mismo sitio (mesa central, un movil y otro WhatsApp), ningun correo publicado y la reserva de horas alojada en un dominio ajeno (s3.philaxmed.cl)",media,https://ellibero.cl/actualidad/habla-el-gerente-de-cuestionada-clinica-en-un-strip-center-cumplimos-con-todas-las-exigencias-establecidas-en-la-normativa-vigente/,138,69
76425459-7,NUCLEO SALUD SPA,138,P AGUIRRE CERDA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,Clinica Nucleo Salud,clinicanucleosalud.cl,si,"WhatsApp con widget (api.whatsapp.com/send/?phone=56982266976), dos numeros de call center (+56 2 2899 4481 y +56 2 2988 0900). No publica correo de contacto",,Maria Jose Maturana,Gerenta General de Clinica Nucleo Salud,,+56 2 2899 4481,,,"Publica dos numeros de call center distintos (+56 2 2899 4481 y +56 2 2988 0900) para 3 sedes (Pedro Aguirre Cerda, Valparaiso y Puente Alto) y un unico WhatsApp, sin ningun correo de contacto en el sitio",media,https://www.df.cl/empresas/salud/nucleo-salud-puso-en-marcha-nueva-clinica-en-exhospital-ochagavia-y,138,69
96971110-9,LUREYE ELECTROMECANICA SPA,119,SANTIAGO,"VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO Y MATERIALES",Lureye,lureye.cl,si,WhatsApp (api.whatsapp.com/send?phone=56942564098) + fono unico +56 2 2897 5000 + formulario de 3 campos + chat Tidio + contacto@lureye.cl,https://cl.linkedin.com/company/lureye-chile,Mauricio Rojas,Gerente General,https://cl.linkedin.com/in/mauricio-rojas-30405a1a5,+56 2 2897 5000,,,"Cobertura en 9 ciudades (Iquique a Puerto Montt) atendida con un solo fono central +56 2 2897 5000 compartido entre Ventas y Servicio Tecnico, y un unico WhatsApp movil para toda la operacion",media,https://cl.linkedin.com/in/mauricio-rojas-30405a1a5,119,68
81440500-1,ACO MAQUINARIAS SA,125,SANTIAGO,VENTA AL POR MENOR DE OTROS ENSERES DOMESTICOS EN COMERCIOS ESPECIALIZADOS,ACO Maquinarias,aco.cl,si,"Dos WhatsApp (wa.me/56979580697 junto al bloque VENTAS y wa.me/56944222609), central (+56 2) 2472 4300 con cinco anexos y tienda fisica en Av. Matta 1300",https://cl.linkedin.com/company/aco-maquinarias,Miguel Campos Lopez,Jefe de Ventas,https://cl.linkedin.com/in/campos-miguel-ed,(+56 2) 2472 4300,,,"Publica dos numeros de WhatsApp distintos y cinco anexos telefonicos en la misma pagina sin indicar cual atiende ventas, cual repuestos y cual servicio tecnico; no publica ningun correo de contacto",alta,https://cl.linkedin.com/in/campos-miguel-ed,125,68
76284620-9,INSTRUVALVE SPA,102,LA CISTERNA,"VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO Y MATERIALES",Instruvalve,instruvalve.cl,si,"Enlace wa.me/56975281528 + formulario de 7 campos (exige empresa, telefono y fecha estimada) + 8 ejecutivos con celular y correo propio + 4 telefonos por oficina (Santiago, Concepcion, Antofagasta, Lima)",https://cl.linkedin.com/company/instruvalve,Pedro Nunez,Gerente Comercial,,+56 9 6691 1355 / +56 2 2547 6300,,,publica 8 celulares personales distintos como canal de contacto (uno por gerente/zona) y un formulario que pide fecha estimada de compra antes de responder; el unico WhatsApp del sitio no dice a que area llega,alta,https://www.instruvalve.cl/contacto/,102,67
78893770-9,RGM MALLAS DE ALAMBRE LIMITADA,109,SANTIAGO,VENTA AL POR MENOR DE OTROS ENSERES DOMESTICOS EN COMERCIOS ESPECIALIZADOS,RGM Alambre y Mallas,https://web.rgm.cl,si,"WhatsApp unico (wa.me/56934548843, que es el celular del supervisor de venta telefonica), fijo +56 2 2489 3900, correo contacto@rgm.cl, formulario y una pagina con 9 ejecutivos con celular propio",https://www.linkedin.com/company/rgm-mallas-de-alambre,Jorge Soto F.,Supervisor Venta Telefonica,,+56 2 2489 3900,,,"Publica 9 ejecutivos con 9 celulares distintos (Santiago, Chillan, Temuco) y el unico WhatsApp del sitio es el celular personal del supervisor de venta telefonica (+56 9 3454 8843)",alta,https://web.rgm.cl/acerca-de-rgm-3/equipo-ventas/,109,67
78225660-2,COMERCIAL Y PRODUCTORA DE EVENTOS JEREMIAS SPA,106,VITACURA,"VENTA, MANTENIMIENTO Y REPARACION DE MOTOCICLETAS Y SUS PARTES, PIEZAS Y ACCESORIOS",Procircuit MotoStore,procircuit.cl,si,Widget de chat WhatsApp en el sitio (app Shopify) + fono 600 085 0405 + web@procircuit.cl; ademas celular y correo propio por sucursal,https://cl.linkedin.com/company/procircuit-motostore,Carlos Sosa,Jefe de Sucursal Vitacura (casa matriz),,600 085 0405,,,"3 sucursales cada una con celular y correo distinto (csosa@, vlopez@) mas un 600 central; el unico WhatsApp publicado es el del taller de casa matriz (+569 2093 3570)",media,https://procircuit.cl/pages/nuestras-sucursales,106,67
76603240-0,CONTENEDORES PATAGONIA SPA,149,SAN BERNARDO,"VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO Y MATERIALES",Contenedores Patagonia,containerspatagonia.cl,no,"Telefono fijo unico (+56 2 2528 6556), correo contact@containerspatagonia.cl y formulario web. Sin WhatsApp ni chat en vivo. Horario acotado L-V 08:30-17:00",https://www.linkedin.com/company/conpatagoniacl,,,,+56 2 2528 6556,,,"Vende y arrienda containers a todo Chile con 4 dominios paralelos (containerspatagonia.cl, containerusados.cl, containers-maritimos.cl, modulospatagonia.cl) pero ninguno tiene WhatsApp: un solo fijo de Santiago y un formulario que promete responder 'dentro de 24 horas'",baja,https://containerspatagonia.cl/contacto/,149,60
76173214-5,SOCIEDAD COMERCIAL E INVERSIONES SIERRA BELLA LIMITADA,145,SANTIAGO,ACTIVIDADES DE HOSPITALES PUBLICOS Y PRIVADOS,Clinica Santa Rosa (ex Nueva Clinica Madre e Hijo),clinicasantarosa.cl,no,"Dos fijos distintos (226594400 y 226594300), sin correo publicado, formulario que pide nombre, telefono, email, sucursal y tipo de consulta, y agendamiento en agendamiento.clinicasantarosa.cl:8080",,,,,+56 2 2659 4400,,,Sin WhatsApp ni correo publico: dos fijos distintos y el agendamiento colgando de un puerto no estandar (agendamiento.clinicasantarosa.cl:8080) que muchas redes corporativas y moviles bloquean,baja,https://www.clinicasantarosa.cl/,145,60
83001500-0,IMPORTADORA HELICO LTDA,149,PROVIDENCIA,VENTA AL POR MENOR DE OTROS PRODUCTOS EN COMERCIOS ESPECIALIZADOS,Helico,helico.cl,no,"Telefono distinto por sucursal (Santiago, Antofagasta, Concepcion, Vina), un solo correo servicioalcliente@helico.cl, formulario web y sistema de tickets externo (ticket.helico.cl). Sin WhatsApp ni chat",https://www.linkedin.com/company/helicotrauma/,,,,+56 2 2940 3100,,,"Distribuye implantes de trauma a pabellones en 4 ciudades, cada sucursal con telefono propio y sin WhatsApp; el soporte obliga a abrir un ticket en ticket.helico.cl",baja,https://www.helico.cl/compania/,149,60
77837400-5,SOC COMERCIAL VISION DEPORTES LIMITADA,146,MELIPILLA,VENTA AL POR MAYOR DE ENSERES DOMESTICOS,Vision Deportes,https://visiondeportes.cl,no,"Solo e-commerce. No hay pagina de contacto: el unico telefono y correo publicados estan en la politica de privacidad y son los de su agencia web (dahir@agenciau.cl, +56 9 4254 1022)",,,,,"+56 9 4254 1022 (agencia web, no la tienda)",,,"El unico contacto publicado en todo el sitio es el correo y celular de su agencia web (dahir@agenciau.cl); los iconos de redes sociales apuntan a instagram.com/shopify y tiktok.com/shopify, o sea la plantilla nunca se configuro, y no hay WhatsApp",baja,https://visiondeportes.cl/policies/privacy-policy,146,60
